node_1|node_2|edge|chunk_id
national health policy 2017|increase the allocation to 2.5% by 2025|a stated commitment for increasing healthcare budget|d6be91e0f9aa4854b035771915689996
indian government health expenditure|$30 billion (doubled allocation)|the government's increased expenditure on health|d6be91e0f9aa4854b035771915689996
oop expenditures|the rest of the healthcare budget in india|expenditure by consumers due to low government share|d6be91e0f9aa4854b035771915689996
india's healthcare budget comparison with middle-income countries and neighbors|to align india's healthcare expenditure with these countries|the need to increase government share in healthcare|d6be91e0f9aa4854b035771915689996
public health system|gdp allocation|currently unable to utilize the allocated budget|7b13bcde265a41cb98c84a7b05efcede
federal government's allocation|health infrastructure and workforce capability|increased capacity through financial increase in 2022|7b13bcde265a41cb98c84a7b05efcede
institutional capacity building|government healthcare system|required for enhancing the health infrastructure and workforce capability|7b13bcde265a41cb98c84a7b05efcede
national health protection mission|health insurance coverage among indians|limited uptake of health services due to low insurance coverage|7b13bcde265a41cb98c84a7b05efcede
health facilities|accreditation|Accredit Health Facilities refers to the process of setting standards and evaluating health facilities against these set standards.|259c5145c1fd4f6da68fa1201296fb6f
private health sector|healthcare infrastructure, personnel, equipment, services|The private health sector needs to adhere to revised public healthcare standards for infrastructure, personnel, equipment and services.|259c5145c1fd4f6da68fa1201296fb6f
medical tourism hubs|private hospitals in india|State-of-the-art hospitals contribute to making India a major hub for medical tourism.|259c5145c1fd4f6da68fa1201296fb6f
government regulations|health sector|Regulation of the private health sector is limited, and existing rules are rarely enforced by the government.|259c5145c1fd4f6da68fa1201296fb6f
economically weaker sections|healthcare accessibility|Corporate hospitals were supposed to allocate land for economically weaker sections, but this is not often the case.|259c5145c1fd4f6da68fa1201296fb6f
national health insurance scheme (ayushman bharat)|healthcare services procurement|The scheme purchases health services from private sector, which can be expanded to a larger population.|259c5145c1fd4f6da68fa1201296fb6f
digital technologies|india's adoption scale|Adopting Digital Technologies at a large scale in India|8f56ed7a2cce4c5aaf72df218171ea0d
evin|digital track and trace system|Developed for tracking vaccine availability and cold chain maintenance in the national immunization program of India.|8f56ed7a2cce4c5aaf72df218171ea0d
covid-19 vaccination|acceleration through digital technologies|eVin system is being used to accelerate the Covid-19 vaccination process.|8f56ed7a2cce4c5aaf72df218171ea0d
online training management information systems|india's indigenous development|These systems for scheduling training and maintaining records were developed within India.|8f56ed7a2cce4c5aaf72df218171ea0d
medical devices, mobile health apps, wearable technology|enhancements in personalized care|These technologies have enhanced opportunities for personalized care, self-management, behavior modification and tele-monitoring of patients.|8f56ed7a2cce4c5aaf72df218171ea0d
india|expansion of digital technology application in health sector|indicated the need for India to adopt similar practices as High-Income Countries|b1ace8359a5044aaa8fd803f2d654ad0
high-income countries|innovations in digital technology supporting vital healthcare delivery|demonstrated the impact of technological advancements on healthcare services|b1ace8359a5044aaa8fd803f2d654ad0
covid-19 pandemic|acceleration in telemedicine uptake and medical examination scope|served as a catalyst for the rapid advancement of healthcare delivery methods|b1ace8359a5044aaa8fd803f2d654ad0
telemedicine|50 to 175 times increase in consultations in us during covid-19 pandemic|significantly increased due to the pandemic|b1ace8359a5044aaa8fd803f2d654ad0
ai-embedded logarithms|diagnosis of covid-19 from chest x-rays and ct scans|used in medical diagnosis during the pandemic|b1ace8359a5044aaa8fd803f2d654ad0
ophthalmic fundal examination|online performed by doctors|transitioned to remote consultations due to the pandemic|b1ace8359a5044aaa8fd803f2d654ad0
drones|delivering medicines to communities|used in healthcare delivery during the COVID-19 pandemic|b1ace8359a5044aaa8fd803f2d654ad0
3d printing|manufacturing of protective equipment|provided a solution to shortage of medical supplies during the pandemic|b1ace8359a5044aaa8fd803f2d654ad0
india|digital divide|must close if wants to leverage digital technology for rural healthcare delivery|0d60ef98a3a5484e808c19a3a878b46c
rural areas of india|internet density 25.3%|represents the current internet coverage status in these areas|0d60ef98a3a5484e808c19a3a878b46c
india|population residing in rural areas (66%) and urban areas (34%)|distinction of population distribution between rural and urban regions|0d60ef98a3a5484e808c19a3a878b46c
private health sector|cognitive platform for oncology care delivery in india|leading initiative in the use of technology for specific medical services|0d60ef98a3a5484e808c19a3a878b46c
government|healthcare delivery effort|needs to intervene and direct healthcare initiatives|0d60ef98a3a5484e808c19a3a878b46c
telemedicine|reach of care|can help decrease maternal and child mortality rates in India|0d60ef98a3a5484e808c19a3a878b46c
india|non-communicable diseases control|uses digital technologies to manage risk factors for such diseases|0d60ef98a3a5484e808c19a3a878b46c
india|diabetes|known as the diabetes capital of the world, indicating a high prevalence rate|0d60ef98a3a5484e808c19a3a878b46c
digital literacy|elderly care delivery and monitoring|can improve access to digital healthcare services for seniors|0d60ef98a3a5484e808c19a3a878b46c
mental health issues in india|privacy in accessing care|digital technologies can help ensure privacy and reduce associated stigma|0d60ef98a3a5484e808c19a3a878b46c
central government|leadership in health fight for all indians|asserts leadership|9083690a2d0b4d0cb55e1334a5b9b5a3
india|live register for health personnel and infrastructure|needs to have|9083690a2d0b4d0cb55e1334a5b9b5a3
india|accurate data about practicing doctors|does not have|9083690a2d0b4d0cb55e1334a5b9b5a3
practicing doctors|geospatial location in india|details about their geospatial location are lacking|9083690a2d0b4d0cb55e1334a5b9b5a3
manpower utilization efficiency and effectiveness|quantity and geospatial location of manpower|increase with accurate data on quantity and location|9083690a2d0b4d0cb55e1334a5b9b5a3
trained personnel|services provided|trained personnel are equipped to provide the services they have been trained for|b9d12a07ee56485f8ecbec0574da41ba
training schedules|transparency|lack of transparency in creating training schedules|b9d12a07ee56485f8ecbec0574da41ba
personnel posting|living conditions|erratic posting of personnel results in better living conditions at district or state headquarters|b9d12a07ee56485f8ecbec0574da41ba
online training|overcome challenge|Online training can help overcome the issue of personnel retention and motivation|b9d12a07ee56485f8ecbec0574da41ba
university of nottingham faculty|training initiative for nurses in india|a two-year intermittent training initiative was taken by the University of Nottingham's faculty|b9d12a07ee56485f8ecbec0574da41ba
participants|evaluations received|the training received positive evaluations from participants|b9d12a07ee56485f8ecbec0574da41ba
training initiative|staff shortages|few implemented the learned skills due to staff shortages and other structural problems|b9d12a07ee56485f8ecbec0574da41ba
health personnel retention|native residents of communities, ongoing training, non-hierarchical work environment, individualized mentoring|these factors help in the retention and motivation of health personnel|b9d12a07ee56485f8ecbec0574da41ba
healthcare personnel|doctors|part of healthcare personnel|80682a5a9491449e9e407c0ed310abca
violence against doctors|new trend|emerging issue in the medical field|80682a5a9491449e9e407c0ed310abca
physician-to-patient ratio|delays in attending patients|cause of delays due to low staffing levels|80682a5a9491449e9e407c0ed310abca
underpaid physicians|taking on more patients than reasonably served|resultant behavior from financial pressure|80682a5a9491449e9e407c0ed310abca
defensive medicine practices|unnecessary tests and procedures|method adopted to mitigate legal risks|80682a5a9491449e9e407c0ed310abca
private sector|mandatory advance payments|profit-driven requirement leading to financial burden|80682a5a9491449e9e407c0ed310abca
pharmaceutical companies|unethical practices|contribution to overprescription issues|80682a5a9491449e9e407c0ed310abca
intense focus on specialization|referrals and prescriptions|resulting in unnecessary medical interventions|80682a5a9491449e9e407c0ed310abca
physicians|patients' frustrated families|interaction point for patient dissatisfaction|80682a5a9491449e9e407c0ed310abca
primary care physicians|adequate compensation|key factor in reversing the trend of violence against doctors|80682a5a9491449e9e407c0ed310abca
private marketplace|solution for healthcare issues|inadequate to address systemic problems in medicine|80682a5a9491449e9e407c0ed310abca
public health sector|private health sector|different aims and service provision strategies|00edd7f73ccc43aa923f1aee23e3e3f2
conclusions|effort to synergize services|to maximize efficiencies at scale|00edd7f73ccc43aa923f1aee23e3e3f2
focus on transparency|health personnel training and retention|as a component of improving the health system|00edd7f73ccc43aa923f1aee23e3e3f2
transparency|quality care for citizens|to ensure India's healthcare system provides accessible, affordable care|00edd7f73ccc43aa923f1aee23e3e3f2
health personnel training and retention|strengthening health infrastructure|as part of improving overall health services|00edd7f73ccc43aa923f1aee23e3e3f2
unified standards|india's health system|to provide affordable, accessible, quality care for citizens|00edd7f73ccc43aa923f1aee23e3e3f2
broad overarching policy|affordable and accessible quality care|essential to ensure India’s health system provides such care|00edd7f73ccc43aa923f1aee23e3e3f2
